metricName,metricType
Client.BlockReadDataChunk,TIMER
Client.BlockReadDataFromChunk,TIMER
Client.BytesReadLocal,COUNTER
Client.BytesReadLocalThroughput,METER
Client.BytesWrittenLocal,COUNTER
Client.BytesWrittenLocalThroughput,METER
Client.BytesWrittenUfs,COUNTER
Client.CacheBytesEvicted,METER
Client.CacheBytesReadCache,METER
Client.CacheBytesReadExternal,METER
Client.CacheBytesRequestedExternal,METER
Client.CacheBytesWrittenCache,METER
Client.CacheCleanupGetErrors,COUNTER
Client.CacheCleanupPutErrors,COUNTER
Client.CacheCreateErrors,COUNTER
Client.CacheDeleteErrors,COUNTER
Client.CacheDeleteNonExistingPageErrors,COUNTER
Client.CacheDeleteNotReadyErrors,COUNTER
Client.CacheDeleteStoreDeleteErrors,COUNTER
Client.CacheGetErrors,COUNTER
Client.CacheGetNotReadyErrors,COUNTER
Client.CacheGetStoreReadErrors,COUNTER
Client.CacheHitRate,GAUGE
Client.CachePages,COUNTER
Client.CachePagesEvicted,METER
Client.CachePutAsyncRejectionErrors,COUNTER
Client.CachePutBenignRacingErrors,COUNTER
Client.CachePutErrors,COUNTER
Client.CachePutEvictionErrors,COUNTER
Client.CachePutInsufficientSpaceErrors,COUNTER
Client.CachePutNotReadyErrors,COUNTER
Client.CachePutStoreDeleteErrors,COUNTER
Client.CachePutStoreWriteErrors,COUNTER
Client.CachePutStoreWriteNoSpaceErrors,COUNTER
Client.CacheSpaceAvailable,GAUGE
Client.CacheSpaceUsed,GAUGE
Client.CacheSpaceUsedCount,COUNTER
Client.CacheState,COUNTER
Client.CacheStoreDeleteTimeout,COUNTER
Client.CacheStoreGetTimeout,COUNTER
Client.CacheStorePutTimeout,COUNTER
Client.CacheStoreThreadsRejected,COUNTER
Client.CacheUnremovableFiles,COUNTER
