propertyName,defaultValue
tachyon.integration.master.resource.cpu,1
tachyon.integration.master.resource.mem,1024 MB
tachyon.integration.mesos.executor.dependency.path,https://s3.amazonaws.com/tachyon-mesos
tachyon.integration.mesos.jre.path,jre1.7.0_79
tachyon.integration.mesos.jre.url,https://s3.amazonaws.com/tachyon-mesos/jre-7u79-linux-x64.tar.gz
tachyon.integration.mesos.master.name,TachyonMaster
tachyon.integration.mesos.master.node.count,1
tachyon.integration.mesos.principal,tachyon
tachyon.integration.mesos.role,*
tachyon.integration.mesos.secret,
tachyon.integration.mesos.user,root
tachyon.integration.mesos.worker.name,TachyonWorker
tachyon.integration.yarn.max.workers.per.host,1
tachyon.integration.worker.resource.cpu,1
tachyon.integration.worker.resource.mem,1024 MB
