metricName,metricType
Cluster.ActiveRpcReadCount,COUNTER
Cluster.ActiveRpcWriteCount,COUNTER
Cluster.BytesReadDirect,COUNTER
Cluster.BytesReadDirectThroughput,GAUGE
Cluster.BytesReadDomain,COUNTER
Cluster.BytesReadDomainThroughput,GAUGE
Cluster.BytesReadLocal,COUNTER
Cluster.BytesReadLocalThroughput,GAUGE
Cluster.BytesReadPerUfs,COUNTER
Cluster.BytesReadRemote,COUNTER
Cluster.BytesReadRemoteThroughput,GAUGE
Cluster.BytesReadUfsAll,COUNTER
Cluster.BytesReadUfsThroughput,GAUGE
Cluster.BytesWrittenDomain,COUNTER
Cluster.BytesWrittenDomainThroughput,GAUGE
Cluster.BytesWrittenLocal,COUNTER
Cluster.BytesWrittenLocalThroughput,GAUGE
Cluster.BytesWrittenPerUfs,COUNTER
Cluster.BytesWrittenRemote,COUNTER
Cluster.BytesWrittenRemoteThroughput,GAUGE
Cluster.BytesWrittenUfsAll,COUNTER
Cluster.BytesWrittenUfsThroughput,GAUGE
Cluster.CapacityFree,GAUGE
Cluster.CapacityTotal,GAUGE
Cluster.CapacityUsed,GAUGE
Cluster.LostWorkers,GAUGE
Cluster.RootUfsCapacityFree,GAUGE
Cluster.RootUfsCapacityTotal,GAUGE
Cluster.RootUfsCapacityUsed,GAUGE
Cluster.Workers,GAUGE
