propertyName,defaultValue
alluxio.conf.dir,${alluxio.home}/conf
alluxio.debug,false
alluxio.fuse.cached.paths.max,500
alluxio.fuse.debug.enabled,false
alluxio.fuse.fs.name,alluxio-fuse
alluxio.fuse.fs.root,/
alluxio.fuse.maxwrite.bytes,131072
alluxio.fuse.mount.default,/mnt/alluxio
alluxio.home,/opt/alluxio
alluxio.integration.master.resource.cpu,1
alluxio.integration.master.resource.mem,1024MB
alluxio.integration.mesos.alluxio.jar.url,http://downloads.alluxio.org/downloads/files/${alluxio.version}/alluxio-${alluxio.version}-bin.tar.gz
alluxio.integration.mesos.jdk.path,jdk1.7.0_79
alluxio.integration.mesos.jdk.url,https://alluxio-mesos.s3.amazonaws.com/jdk-7u79-linux-x64.tar.gz
alluxio.integration.mesos.master.name,AlluxioMaster
alluxio.integration.mesos.master.node.count,1
alluxio.integration.mesos.principal,alluxio
alluxio.integration.mesos.role,*
alluxio.integration.mesos.secret,
alluxio.integration.mesos.user,
alluxio.integration.mesos.worker.name,AlluxioWorker
alluxio.integration.worker.resource.cpu,1
alluxio.integration.worker.resource.mem,1024MB
alluxio.integration.yarn.workers.per.host.max,1
alluxio.logger.type,Console
alluxio.logs.dir,${alluxio.work.dir}/logs
alluxio.metrics.conf.file,${alluxio.conf.dir}/metrics.properties
alluxio.network.host.resolution.timeout.ms,5sec
alluxio.network.netty.heartbeat.timeout.ms,30sec
alluxio.network.thrift.frame.size.bytes.max,16MB
alluxio.proxy.stream.cache.timeout.ms,1hour
alluxio.proxy.web.bind.host,0.0.0.0
alluxio.proxy.web.hostname,
alluxio.proxy.web.port,39999
alluxio.site.conf.dir,${user.home}/.alluxio/,/etc/alluxio/
alluxio.test.mode,false
alluxio.underfs.address,${alluxio.work.dir}/underFSStorage
alluxio.underfs.allow.set.owner.failure,false
alluxio.underfs.gcs.owner.id.to.username.mapping,
alluxio.underfs.glusterfs.impl,org.apache.hadoop.fs.glusterfs.GlusterFileSystem
alluxio.underfs.glusterfs.mapred.system.dir,glusterfs:///mapred/system
alluxio.underfs.glusterfs.mounts,
alluxio.underfs.glusterfs.volumes,
alluxio.underfs.hdfs.configuration,${alluxio.conf.dir}/core-site.xml:${alluxio.conf.dir}/hdfs-site.xml
alluxio.underfs.hdfs.impl,org.apache.hadoop.hdfs.DistributedFileSystem
alluxio.underfs.hdfs.prefixes,hdfs://,glusterfs:///,maprfs:///
alluxio.underfs.hdfs.remote,false
alluxio.underfs.listing.length,1000
alluxio.underfs.object.store.mount.shared.publicly,false
alluxio.underfs.object.store.service.threads,20
alluxio.underfs.oss.connection.max,1024
alluxio.underfs.oss.connection.timeout.ms,50sec
alluxio.underfs.oss.connection.ttl,-1
alluxio.underfs.oss.socket.timeout.ms,50sec
alluxio.underfs.s3.admin.threads.max,20
alluxio.underfs.s3.disable.dns.buckets,false
alluxio.underfs.s3.endpoint,
alluxio.underfs.s3.endpoint.http.port,
alluxio.underfs.s3.endpoint.https.port,
alluxio.underfs.s3.owner.id.to.username.mapping,
alluxio.underfs.s3.proxy.host,
alluxio.underfs.s3.proxy.https.only,true
alluxio.underfs.s3.proxy.port,
alluxio.underfs.s3.threads.max,40
alluxio.underfs.s3.upload.threads.max,20
alluxio.underfs.s3a.consistency.timeout.ms,1min
alluxio.underfs.s3a.directory.suffix,/
alluxio.underfs.s3a.inherit_acl,true
alluxio.underfs.s3a.list.objects.v1,false
alluxio.underfs.s3a.request.timeout.ms,1min
alluxio.underfs.s3a.secure.http.enabled,false
alluxio.underfs.s3a.server.side.encryption.enabled,false
alluxio.underfs.s3a.signer.algorithm,
alluxio.underfs.s3a.socket.timeout.ms,50sec
alluxio.version,1.6.0-SNAPSHOT
alluxio.web.resources,${alluxio.home}/core/server/common/src/main/webapp
alluxio.web.threads,1
alluxio.work.dir,${alluxio.home}
alluxio.zookeeper.address,
alluxio.zookeeper.election.path,/election
alluxio.zookeeper.enabled,false
alluxio.zookeeper.leader.inquiry.retry,10
alluxio.zookeeper.leader.path,/leader
aws.accessKeyId,
aws.secretKey,
fs.gcs.accessKeyId,
fs.gcs.secretAccessKey,
fs.oss.accessKeyId,
fs.oss.accessKeySecret,
fs.oss.endpoint,
fs.s3n.awsAccessKeyId,
fs.s3n.awsSecretAccessKey,
fs.swift.apikey,
fs.swift.auth.method,
fs.swift.auth.url,
fs.swift.password,
fs.swift.region,
fs.swift.simulation,
fs.swift.tenant,
fs.swift.use.public.url,
fs.swift.user,
