command,args
extensions,None
format,[-s]
formatMaster,None
formatWorker,None
bootstrapConf,&lt;ALLUXIO_MASTER_HOSTNAME&gt;
fs,[fs-commands]
fsadmin,[fsadmin-commands]
getConf,[key]
logLevel,[--level &lt;arg&gt;] --logName &lt;arg&gt; [--target &lt;arg&gt;]
runTest,&lt;Example&gt; &lt;ReadType&gt; &lt;WriteType&gt;
runTests,None
journalCrashTest,[-creates &lt;arg&gt;] [-deletes &lt;arg&gt;] [-renames &lt;arg&gt;] [-maxAlive &lt;arg&gt;] [-testDir &lt;arg&gt;] [-totalTime &lt;arg&gt;] [-help]
readJournal,[-inputDir &lt;arg&gt;] [-outputDir &lt;arg&gt;] [-master &lt;arg&gt;] [-start &lt;arg&gt;] [-end &lt;arg&gt;] [-help]
upgradeJournal,None
killAll,&lt;WORD&gt;
copyDir,&lt;PATH&gt;
clearCache,None
confDocGen,None
version,None
validateConf,None
validateEnv,&lt;TARGET&gt; [NAME]

