metricName,metricType
Master.AbsentCacheHits,COUNTER
Master.AbsentCacheInvalidations,COUNTER
Master.AbsentCacheMisses,COUNTER
Master.AbsentCacheSize,GAUGE
Master.CompleteFileOps,COUNTER
Master.CreateDirectoryOps,COUNTER
Master.CreateFileOps,COUNTER
Master.DeletePathOps,COUNTER
Master.DirectoriesCreated,COUNTER
Master.EdgeCacheEvictions,GAUGE
Master.EdgeCacheHits,GAUGE
Master.EdgeCacheLoadTimes,GAUGE
Master.EdgeCacheMisses,GAUGE
Master.EdgeCacheSize,GAUGE
Master.EdgeLockPoolSize,GAUGE
Master.FileBlockInfosGot,COUNTER
Master.FileInfosGot,COUNTER
Master.FilesCompleted,COUNTER
Master.FilesCreated,COUNTER
Master.FilesFreed,COUNTER
Master.FilesPersisted,COUNTER
Master.FilesPinned,GAUGE
Master.FreeFileOps,COUNTER
Master.GetFileBlockInfoOps,COUNTER
Master.GetFileInfoOps,COUNTER
Master.GetNewBlockOps,COUNTER
Master.InodeCacheEvictions,GAUGE
Master.InodeCacheHits,GAUGE
Master.InodeCacheLoadTimes,GAUGE
Master.InodeCacheMisses,GAUGE
Master.InodeCacheSize,GAUGE
Master.InodeLockPoolSize,GAUGE
Master.JournalFlushFailure,COUNTER
Master.JournalFlushTimer,TIMER
Master.JournalGainPrimacyTimer,TIMER
Master.LastBackupEntriesCount,GAUGE
Master.LastBackupRestoreCount,GAUGE
Master.LastBackupRestoreTimeMs,GAUGE
Master.LastBackupTimeMs,GAUGE
Master.ListingCacheEvictions,COUNTER
Master.ListingCacheHits,COUNTER
Master.ListingCacheLoadTimes,COUNTER
Master.ListingCacheMisses,COUNTER
Master.ListingCacheSize,GAUGE
Master.MountOps,COUNTER
Master.NewBlocksGot,COUNTER
Master.PathsDeleted,COUNTER
Master.PathsMounted,COUNTER
Master.PathsRenamed,COUNTER
Master.PathsUnmounted,COUNTER
Master.RenamePathOps,COUNTER
Master.SetAclOps,COUNTER
Master.SetAttributeOps,COUNTER
Master.TotalPaths,GAUGE
Master.UfsJournalCatchupTimer,TIMER
Master.UfsJournalFailureRecoverTimer,TIMER
Master.UfsJournalInitialReplayTimeMs,GAUGE
Master.UnmountOps,COUNTER
