propertyName,defaultValue
alluxio.security.authentication.custom.provider.class,""
alluxio.security.authentication.type,"SIMPLE"
alluxio.security.authorization.permission.enabled,"true"
alluxio.security.authorization.permission.supergroup,"supergroup"
alluxio.security.authorization.permission.umask,"022"
alluxio.security.group.mapping.cache.timeout,"1min"
alluxio.security.group.mapping.class,"provider.group.security.alluxio.dora.ShellBasedUnixGroupsMapping"
alluxio.security.login.impersonation.username,"_HDFS_USER_"
alluxio.security.login.username,""
alluxio.security.stale.channel.purge.interval,"3day"
